Rank,CNG,Prospect,College,POS,Ht,Wt,CLS,Bio_URL
1,--,Fernando Mendoza,Indiana,QB,"6'5""",236,RJR,https://iuhoosiers.com/sports/football/roster/fernando-mendoza/20171
2,--,Arvell Reese,Ohio State,EDGE,"6'4""",241,JR,https://ohiostatebuckeyes.com/sports/football/roster/arvell-reese/12300
3,--,Jeremiyah Love,Notre Dame,RB,"6'0""",212,JR,https://fightingirish.com/roster/jeremiyah-love/
4,--,Sonny Styles,Ohio State,OLB,"6'5""",244,SR,https://ohiostatebuckeyes.com/sports/football/roster/sonny-styles/11048
5,--,Caleb Downs,Ohio State,S,"6'0""",206,JR,https://ohiostatebuckeyes.com/sports/football/roster/caleb-downs/12257
6,--,Francis Mauigoa,Miami (FL),OT,"6'6""",329,JR,https://miamihurricanes.com/roster/francis-mauigoa/
7,--,David Bailey,Texas Tech,EDGE,"6'4""",251,SR,https://texastech.com/sports/football/roster/david-bailey/13883
8,--,Mansoor Delane,LSU,CB,"6'0""",187,SR,https://lsusports.net/sports/fb/roster/player/mansoor-delane/
9,--,Carnell Tate,Ohio State,WR,"6'2""",192,JR,https://ohiostatebuckeyes.com/sports/football/roster/carnell-tate/12317
10,+3,Spencer Fano,Utah,OT,"6'6""",311,JR,https://utahutes.com/sports/football/roster/spencer-fano/16579
11,--,Makai Lemon,USC,WR,"5'11""",192,JR,https://usctrojans.com/sports/football/roster/makai-lemon/17550
12,-3,Rueben Bain Jr.,Miami (FL),EDGE,"6'2""",263,JR,https://miamihurricanes.com/roster/rueben-bain/
13,--,Olaivavega Ioane,Penn State,OG,"6'4""",320,RJR,https://gopsusports.com/sports/football/roster/player/olaivavega-ioane
14,-5,Kenyon Sadiq,Oregon,TE,"6'3""",241,JR,https://goducks.com/sports/football/roster/kenyon-sadiq/17418
15,--,Jordyn Tyson,Arizona State,WR,"6'2""",203,RJR,https://thesundevils.com/sports/football/roster/jordyn-tyson/17413
16,--,Keldric Faulk,Auburn,EDGE,"6'6""",276,JR,https://auburntigers.com/sports/football/roster/player/keldric-faulk
17,-5,Monroe Freeling,Georgia,OT,"6'7""",315,JR,https://georgiadogs.com/sports/football/roster/monroe-freeling/9522
18,--,Dillon Thieneman,Oregon,S,"6'0""",201,JR,https://purduesports.com/sports/football/roster/dillon-thieneman/12982
19,--,Jermod McCoy,Tennessee,CB,"6'1""",188,JR,https://utsports.com/sports/football/roster/jermod-mccoy/22020
20,--,Ty Simpson,Alabama,QB,"6'1""",211,RJR,https://rolltide.com/sports/football/roster/ty-simpson/13841
21,--,Omar Cooper Jr.,Indiana,WR,"6'0""",199,RJR,https://iuhoosiers.com/sports/football/roster/omar-cooper-jr-/19946
22,--,Chris Johnson,San Diego State,CB,"6'0""",193,SR,https://goaztecs.com/sports/football/roster/player/chris-johnson
23,--,T.J. Parker,Clemson,EDGE,"6'4""",263,JR,https://clemsontigers.com/sports/football/roster/tj-parker/
24,--,Kadyn Proctor,Alabama,OT,"6'7""",352,JR,https://rolltide.com/sports/football/roster/kadyn-proctor/8742
25,--,Colton Hood,Tennessee,CB,"6'0""",193,RSO,https://utsports.com/sports/football/roster/colton-hood/22270
26,-6,Peter Woods,Clemson,DL3T,"6'2""",298,JR,https://clemsontigers.com/sports/football/roster/peter-woods/
27,--,KC Concepcion,Texas A&M,WR,"6'0""",196,JR,https://12thman.com/sports/football/roster/kc-concepcion/14826
28,--,Caleb Lomu,Utah,OT,"6'6""",313,RSO,https://utahutes.com/sports/football/roster/caleb-lomu/16602
29,--,Emmanuel McNeil-Warren,Toledo,S,"6'3""",201,SR,https://utrockets.com/sports/football/roster/emmanuel-mcneil-warren/10000
30,--,Denzel Boston,Washington,WR,"6'4""",212,RJR,https://gohuskies.com/sports/football/roster/denzel-boston/16627
31,+5,Blake Miller,Clemson,OT,"6'7""",317,SR,https://clemsontigers.com/sports/football/roster/blake-miller/
32,--,Max Iheanachor,Arizona State,OT,"6'6""",321,RSR,https://thesundevils.com/sports/football/roster/player/max-iheanachor
33,+8,Kayden McDonald,Ohio State,DL1T,"6'2""",326,JR,https://ohiostatebuckeyes.com/sports/football/roster/kayden-mcdonald/12285
34,--,Akheem Mesidor,Miami (FL),EDGE,"6'3""",259,RSR,https://miamihurricanes.com/roster/akheem-mesidor/
35,--,Lee Hunter,Texas Tech,DL1T,"6'3""",318,RSR,https://texastech.com/sports/football/roster/lee-hunter/13789
36,--,Brandon Cisse,South Carolina,CB,"6'0""",189,JR,https://gamecocksonline.com/sports/football/roster/player/brandon-cisse/
37,-5,Cashius Howell,Texas A&M,EDGE,"6'2""",253,RSR,https://12thman.com/sports/football/roster/cashius-howell/14645
38,--,C.J. Allen,Georgia,OLB,"6'1""",230,JR,https://georgiadogs.com/sports/football/roster/cj-allen/9498
39,--,Christen Miller,Georgia,DL1T,"6'4""",321,RJR,https://georgiadogs.com/sports/football/roster/christen-miller/9553
40,+8,Malachi Lawrence,UCF,EDGE,"6'4""",253,RSR,https://ucfknights.com/sports/football/roster/player/malachi-lawrence
41,--,Gabe Jacas,Illinois,EDGE,"6'4""",260,SR,https://fightingillini.com/sports/football/roster/gabe-jacas/15034
42,--,Eli Stowers,Vanderbilt,TE,"6'4""",239,RSR,https://vucommodores.com/roster/eli-stowers/
43,--,Anthony Hill Jr.,Texas,ILB,"6'2""",238,JR,https://texaslonghorns.com/sports/football/roster/anthony-hill-jr-/14362
44,--,Emmanuel Pregnon,Oregon,OG,"6'4""",314,RSR,https://goducks.com/sports/football/roster/emmanuel-pregnon/17443
45,--,D'Angelo Ponds,Indiana,CBN,"5'9""",182,JR,https://iuhoosiers.com/sports/football/roster/d-angelo-ponds/20002
46,--,R Mason Thomas,Oklahoma,EDGE,"6'2""",241,SR,https://soonersports.com/sports/football/roster/r-mason-thomas/19448
47,--,Keionte Scott,Miami (FL),CB,"5'11""",193,RSR,https://miamihurricanes.com/sports/football/roster/
48,--,Chase Bisontis,Texas A&M,OG,"6'5""",315,JR,https://12thman.com/sports/football/roster/chase-bisontis/14594
49,-15,Avieon Terrell,Clemson,CBN,"5'11""",186,JR,https://clemsontigers.com/sports/football/roster/avieon-terrell/
50,--,Caleb Banks,Florida,DL1T,"6'6""",327,RSR,https://floridagators.com/sports/football/roster/caleb-banks/17564
51,--,Jadarian Price,Notre Dame,RB,"5'11""",203,RJR,https://fightingirish.com/roster/jadarian-price/
52,--,Germie Bernard,Alabama,WR,"6'1""",206,SR,https://rolltide.com/sports/football/roster/germie-bernard/13766
53,--,Zion Young,Missouri,EDGE,"6'6""",262,SR,https://mutigers.com/sports/football/roster/zion-young/28673
54,--,Jacob Rodriguez,Texas Tech,ILB,"6'1""",231,RSR,https://texastech.com/sports/football/roster/jacob-rodriguez/13749
55,--,Treydan Stukes,Arizona,S,"6'1""",190,RSR,https://arizonawildcats.com/sports/football/roster/treydan-stukes/18434
56,--,Jake Golday,Cincinnati,OLB,"6'4""",239,RSR,https://gobearcats.com/sports/football/roster/player/jake-golday
57,+10,Max Klare,Ohio State,TE,"6'5""",246,RJR,https://ohiostatebuckeyes.com/sports/football/roster/max-klare/12358
58,--,Derrick Moore,Michigan,EDGE,"6'4""",255,SR,https://d4njeax0ev936.cloudfront.net/sports/football/roster/derrick-moore/26739
59,--,Chris Bell,Louisville,WR,"6'2""",222,SR,https://gocards.com/sports/football/roster/chris-bell/15924
60,--,Mike Washington Jr.,Arkansas,RB,"6'1""",223,RSR,https://arkansasrazorbacks.com/roster/mike-washington-jr/
61,-10,Chris Brazzell II,Tennessee,WR,"6'4""",198,RJR,https://utsports.com/sports/football/roster/chris-brazzell-ii/21983
62,--,Gennings Dunker,Iowa,OG,"6'5""",319,RSR,https://hawkeyesports.com/sports/football/roster/player/gennings-dunker
63,--,Domonique Orange,Iowa State,DL1T,"6'2""",322,SR,https://cyclones.com/sports/football/roster/domonique-orange/13720
64,--,Davison Igbinosun,Ohio State,CB,"6'2""",189,SR,https://ohiostatebuckeyes.com/sports/football/roster/davison-igbinosun/11006
65,--,Caleb Tiernan,Northwestern,OT,"6'8""",323,RSR,https://nusports.com/sports/football/roster/caleb-tiernan/12509
66,--,A.J. Haulcy,LSU,S,"6'0""",215,SR,https://lsusports.net/sports/fb/roster/player/a-j-haulcy/
67,--,Ted Hurst,Georgia State,WR,"6'4""",206,SR,https://georgiastatesports.com/sports/football/roster/ted-hurst/7635
68,--,Romello Height,Texas Tech,EDGE,"6'3""",239,RSR,https://texastech.com/sports/football/roster/romello-height/13792
69,-15,Elijah Sarratt,Indiana,WR,"6'2""",210,SR,https://iuhoosiers.com/sports/football/roster/elijah-sarratt/20009
70,--,Keylan Rutledge,Georgia Tech,OG,"6'4""",316,SR,https://ramblinwreck.com/roster/keylan-rutledge/
71,--,Antonio Williams,Clemson,WR,"5'11""",187,RJR,https://clemsontigers.com/sports/football/roster/antonio-williams/
72,--,Josiah Trotter,Missouri,ILB,"6'2""",237,RSO,https://mutigers.com/sports/football/roster/josiah-trotter/28698
73,-15,Zachariah Branch,Georgia,WR,"5'9""",177,JR,https://georgiadogs.com/sports/football/roster/zachariah-branch/9615
74,--,Malachi Fields,Notre Dame,WR,"6'4""",218,RSR,https://www.on3.com/db/malachi-fields-81419/
75,--,Tacario Davis,Washington,CB,"6'4""",194,SR,https://gohuskies.com/sports/football/roster/tacario-davis/16836
76,--,Darrell Jackson Jr.,Florida State,DL3T,"6'6""",315,RSR,https://seminoles.com/sports/football/roster/darrell-jackson-jr/7797
77,--,Malik Muhammad,Texas,CB,"6'0""",182,JR,https://texaslonghorns.com/sports/football/roster/malik-muhammad/14370
78,--,Dani Dennis-Sutton,Penn State,EDGE,"6'6""",256,SR,https://gopsusports.com/sports/football/roster/player/dani-dennis-sutton
79,--,Kyle Louis,Pittsburgh,OLB,"6'0""",220,RJR,https://pittsburghpanthers.com/sports/football/roster/kyle-louis/14297
80,--,Zakee Wheatley,Penn State,S,"6'3""",208,RSR,https://gopsusports.com/sports/football/roster/player/zakee-wheatley
81,-15,Keith Abney II,Arizona State,CBN,"5'10""",187,JR,https://thesundevils.com/sports/football/roster/player/keith-abney-ii
82,--,Gracen Halton,Oklahoma,DL3T,"6'3""",293,SR,https://soonersports.com/sports/football/roster/gracen-halton/19330
83,--,Sam Hecht,Kansas State,OC,"6'4""",303,RSR,https://www.kstatesports.com/sports/football/roster/sam-hecht/12511
84,--,Garrett Nussmeier,LSU,QB,"6'2""",203,RSR,https://lsusports.net/sports/fb/roster/player/garrett-nussmeier/
85,--,Connor Lew,Auburn,OC,"6'4""",310,JR,https://auburntigers.com/sports/football/roster/player/connor-lew
86,--,Zane Durant,Penn State,DL3T,"6'1""",290,SR,https://gopsusports.com/sports/football/roster/player/zane-durant
87,-10,Jalen Farmer,Kentucky,OG,"6'5""",312,RJR,https://ukathletics.com/sports/football/roster/player/jalen-farmer/
88,--,Drew Allar,Penn State,QB,"6'5""",228,SR,https://gopsusports.com/sports/football/roster/player/drew-allar
89,--,Jake Slaughter,Florida,OC,"6'5""",303,RSR,https://floridagators.com/sports/football/roster/jake-slaughter/17629
90,--,Bryce Lance,North Dakota State,WR,"6'3""",204,RSR,https://gobison.com/sports/football/roster/bryce-lance/23084
91,--,Bud Clark,TCU,S,6'0,185,RSR,https://gofrogs.com/sports/football/roster/bud-clark/17386
92,+15,Keyron Crawford,Auburn,EDGE,"6'4""",253,SR,https://auburntigers.com/sports/football/roster/player/keyron-crawford
93,-10,Deion Burks,Oklahoma,WRS,"5'10""",180,RSR,https://soonersports.com/sports/football/roster/deion-burks/19176
94,+15,V.J. Payne,Kansas State,S,"6'3""",206,SR,https://www.kstatesports.com/sports/football/roster/vj-payne/12544
95,-10,Genesis Smith,Arizona State,S,"6'2""",202,JR,https://arizonawildcats.com/sports/football/roster/genesis-smith/18430
96,+10,Joshua Josephs,Tennessee,EDGE,"6'3""",242,SR,https://utsports.com/sports/football/roster/joshua-josephs/22012
97,--,Logan Jones,Iowa,OC,"6'3""",299,RSR,https://hawkeyesports.com/sports/football/roster/player/logan-jones
98,+10,Jaishawn Barham,Michigan,EDGE,"6'4""",240,SR,https://mgoblue.com/sports/football/roster/jaishawn-barham/26686
99,--,Daylen Everette,Georgia,CB,"6'1""",196,SR,https://georgiadogs.com/sports/football/roster/daylen-everette/9518
100,+10,Skyler Bell,Connecticut,WR,"6'0""",192,RSR,https://uconnhuskies.com/sports/football/roster/skyler-bell/14785
101,--,Sam Roush,Stanford,TE,"6'6""",267,SR,https://gostanford.com/sports/football/roster/player/sam-roush
102,+15,Chandler Rivers,Duke,CBN,"5'10""",185,SR,https://goduke.com/sports/football/roster/chandler-rivers/21808
103,-10,Kamari Ramsey,USC,S,"6'0""",202,RJR,https://usctrojans.com/sports/football/roster/kamari-ramsey/17576
104,--,Jonah Coleman,Washington,RB,"5'8""",220,SR,https://gohuskies.com/sports/football/roster/jonah-coleman/16636
105,--,Rayshaun Benny,Michigan,DL3T,"6'3""",298,RSR,https://mgoblue.com/sports/football/roster/rayshaun-benny/26691
106,--,Emmett Johnson,Nebraska,RB,"5'10""",202,RJR,https://huskers.com/sports/football/roster/player/emmett-johnson
107,+20,Will Lee III,Texas A&M,CB,"6'2""",190,RSR,https://12thman.com/sports/football/roster/will-lee-iii/14660
108,+20,De'Zhaun Stribling,Ole Miss,WR,"6'2""",207,RSR,https://olemisssports.com/sports/football/roster/dezhaun-stribling/5953
109,--,Justin Joly,NC State,TE,"6'3""",241,SR,https://gopack.com/sports/football/roster/justin-joly/15249
110,+35,Keyshaun Elliott,Arizona State,ILB,"6'2""",231,SR,https://thesundevils.com/sports/football/roster/player/keyshaun-elliott
111,--,Markel Bell,Miami (FL),OT,"6'9""",346,SR,https://miamihurricanes.com/roster/markel-bell/
112,-10,Carson Beck,Miami (FL),QB,"6'5""",233,RSR,https://miamihurricanes.com/roster/carson-beck/
113,--,Kage Casey,Boise State,OG,"6'6""",310,RJR,https://broncosports.com/sports/football/roster/kage-casey/11242
114,--,Taylen Green,Arkansas,QB,"6'6""",227,RSR,https://arkansasrazorbacks.com/roster/taylen-green/
115,+20,Tyler Onyedim,Texas A&M,DL5T,"6'4""",292,GR,https://12thman.com/sports/football/roster/tyler-onyedim/14832
116,-10,Julian Neal,Arkansas,CB,"6'2""",203,RSR,https://arkansasrazorbacks.com/roster/julian-neal/
117,--,Billy Schrauth,Notre Dame,OG,"6'5""",310,RJR,https://fightingirish.com/roster/billy-schrauth/
118,--,Austin Barber,Florida,OT,"6'7""",318,RSR,https://floridagators.com/sports/football/roster/austin-barber/17565
119,--,Dametrious Crownover,Texas A&M,OT,"6'7""",319,RSR,https://12thman.com/sports/football/roster/dametrious-crownover/14619
120,+10,Chris McClellan,Missouri,DL3T,"6'4""",313,SR,https://mutigers.com/sports/football/roster/chris-mcclellan/28645
121,--,Kaytron Allen,Penn State,RB,"5'11""",216,SR,https://gopsusports.com/sports/football/roster/player/kaytron-allen
122,--,Jalon Kilgore,South Carolina,S,"6'1""",210,JR,https://gamecocksonline.com/sports/football/roster/player/jalon-kilgore/
123,-20,Ja'Kobi Lane,USC,WR,"6'4""",200,JR,https://usctrojans.com/sports/football/roster/jakobi-lane/17475
124,+30,Travis Burke,Memphis,OT,"6'9""",325,RSR,https://gotigersgo.com/sports/football/roster/travis-burke/12179
125,--,Brian Parker II,Duke,OC,"6'5""",309,RJR,https://goduke.com/sports/football/roster/brian-parker-ii/21797
126,--,Brenen Thompson,Mississippi State,WRS,"5'9""",164,SR,https://hailstate.com/sports/football/roster/brenen-thompson/12380
127,--,L.T. Overton,Alabama,DL5T,"6'3""",274,SR,https://rolltide.com/sports/football/roster/lt-overton/13821
128,+15,Albert Regis,Texas A&M,DL3T,"6'1""",295,RSR,https://12thman.com/sports/football/roster/albert-regis/14684
129,-15,Michael Taaffe,Texas,S,"6'0""",190,RSR,https://texaslonghorns.com/sports/football/roster/michael-taaffe/14381
130,--,Oscar Delp,Georgia,TE,"6'5""",245,SR,https://georgiadogs.com/sports/football/roster/oscar-delp/9515
131,--,Devin Moore,Florida,CB,"6'3""",198,SR,https://floridagators.com/sports/football/roster/devin-moore/17616
132,--,Tim Keenan III,Alabama,DL1T,"6'1""",327,RSR,https://rolltide.com/sports/football/roster/tim-keenan-iii/13802
133,--,Bryce Boettcher,Oregon,ILB,"6'1""",233,RSR,https://goducks.com/sports/football/roster/bryce-boettcher/17353
134,--,Jude Bowry,Boston College,OT,"6'5""",314,RJR,https://bceagles.com/sports/football/roster/jude-bowry/24289
135,--,Max Llewellyn,Iowa,EDGE,"6'4""",258,RSR,https://hawkeyesports.com/sports/football/roster/player/max-llewellyn
136,--,Trey Zuhn III,Texas A&M,OC,"6'7""",312,RSR,https://12thman.com/sports/football/roster/trey-zuhn-iii/14724
137,--,Nick Singleton,Penn State,RB,"6'0""",219,SR,https://gopsusports.com/sports/football/roster/player/nicholas-singleton
138,--,Demond Claiborne,Wake Forest,RB,"5'10""",188,SR,https://godeacs.com/sports/football/roster/demond-claiborne/8566
139,+45,Nick Barrett,South Carolina,DL3T,"6'3""",312,RSR,https://gamecocksonline.com/sports/football/roster/player/nick-barrett/
140,+30,Cole Payton,North Dakota State,QB,"6'3""",232,SR,https://gobison.com/sports/football/roster/cole-payton/23101
141,--,Jalen Huskey,Maryland,S,"6'1""",196,SR,https://umterps.com/sports/football/roster/jalen-huskey/14705
142,--,Isaiah World,Oregon,OT,"6'8""",309,RSR,https://goducks.com/sports/football/roster/isaiah-world/17446
143,+15,Kaleb Elarms-Orr,TCU,OLB,"6'2""",234,SR,https://gofrogs.com/sports/football/roster/kaleb-elarmsorr/17394
144,--,Nadame Tucker,Western Michigan,EDGE,"6'2""",247,SR,https://wmubroncos.com/sports/football/roster/nadame-tucker/15568
145,-25,Michael Trigg,Baylor,TE,"6'4""",240,RSR,https://baylorbears.com/sports/football/roster/michael-trigg/14114
146,--,Charles Demmings,Stephen F Austin,CB,"6'1""",193,SR,https://sfajacks.com/sports/football/roster/charles-demmings/7542
147,--,J.C. Davis,Illinois,OT,"6'4""",322,RSR,https://fightingillini.com/sports/football/roster/j-c--davis/14459
148,+40,Jadon Canady,Oregon,CBN,"5'11""",181,RSR,https://goducks.com/sports/football/roster/jadon-canady/17452
149,--,DeShon Singleton,Nebraska,S,"6'3""",205,RSR,https://huskers.com/sports/football/roster/player/deshon-singleton
150,-15,Harold Perkins Jr.,LSU,OLB,"6'1""",223,SR,https://lsusports.net/sports/fb/roster/player/harold-perkins-jr/
151,-20,Anthony Lucas,USC,EDGE,"6'6""",256,SR,https://usctrojans.com/sports/football/roster/anthony-lucas/17706
152,-15,Seth McGowan,Kentucky,RB,"6'0""",223,SR,https://ukathletics.com/sports/football/roster/player/seth-mcgowan/
153,-15,Cade Klubnik,Clemson,QB,"6'2""",207,SR,https://clemsontigers.com/sports/football/roster/cade-klubnik/
154,-25,Deontae Lawson,Alabama,ILB,"6'3""",226,RSR,https://rolltide.com/sports/football/roster/deontae-lawson/13806
155,--,Taurean York,Texas A&M,ILB,"5'11""",226,JR,https://12thman.com/sports/football/roster/taurean-york/14722
156,--,Reggie Virgil,Texas Tech,WR,"6'3""",187,SR,https://texastech.com/sports/football/roster/reggie-virgil/13784
157,--,DeMonte Capehart,Clemson,DL3T,"6'5""",313,RSR,https://clemsontigers.com/sports/football/roster/demonte-capehart/
158,--,Bishop Fitzgerald,USC,S,"5'11""",201,RSR,https://usctrojans.com/sports/football/roster/bishop-fitzgerald/17684
159,-15,Kevin Coleman Jr.,Missouri,WR,"5'10""",179,SR,https://mutigers.com/sports/football/roster/kevin-coleman-jr-/28678
160,+30,Beau Stephens,Iowa,OG,"6'6""",315,RSR,https://hawkeyesports.com/sports/football/roster/player/beau-stephens
161,-25,Jack Endries,Texas,TE,"6'5""",245,RJR,https://texaslonghorns.com/news/2025/5/1/football-signs-five-transfers.aspx
162,--,Parker Brailsford,Alabama,OC,"6'2""",289,RJR,https://rolltide.com/sports/football/roster/parker-brailsford/13767
163,+20,Toriano Pride Jr.,Missouri,CBN,"5'10""",185,SR,https://mutigers.com/sports/football/roster/toriano-pride-jr-/28657
164,--,Keagen Trost,Missouri,OT,"6'5""",311,RSR,https://mutigers.com/sports/football/roster/keagen-trost/28697
165,-25,Tyreak Sapp,Florida,EDGE,"6'2""",273,RSR,https://floridagators.com/sports/football/roster/tyreak-sapp/17625
166,+20,Diego Pounds,Ole Miss,OT,"6'6""",325,SR,https://olemisssports.com/sports/football/roster/diego-pounds/5871
167,+10,Wesley Bailey,Louisville,EDGE,"6'5""",265,RSR,https://gocards.com/sports/football/roster/wesley-bailey/16019
168,--,Kaleb Proctor,SE Louisiana,DL5T,"6'2""",291,RSR,https://lionsports.net/sports/football/roster/kaleb-proctor/11305
169,--,Nate Boerkircher,Texas A&M,TE,"6'5""",245,GR,https://12thman.com/sports/football/roster/nate-boerkircher/14825
170,-20,Dallen Bentley,Utah,TE,"6'4""",253,SR,https://utahutes.com/sports/football/roster/dallen-bentley/16553
171,+25,Logan Fano,Utah,EDGE,"6'5""",257,RJR,https://utahutes.com/sports/football/roster/logan-fano/16578
172,--,Marlin Klein,Michigan,TE,"6'6""",248,RJR,https://mgoblue.com/sports/football/roster/marlin-klein/26727
173,--,Jeff Caldwell,Cincinnati,WR,"6'5""",216,SR,https://gobearcats.com/sports/football/roster/player/jeff-caldwell
174,-30,Dontay Corleone,Cincinnati,DL1T,"6'1""",340,RSR,https://gobearcats.com/sports/football/roster/dontay-corleone/13251
175,--,Eli Raridon,Notre Dame,TE,"6'6""",245,SR,https://fightingirish.com/roster/eli-raridon/
176,--,Le'Veon Moss,Texas A&M,RB,"5'11""",203,SR,https://12thman.com/sports/football/roster/le-veon-moss/14669
177,--,Jeremiah Wright,Auburn,OG,"6'5""",331,RSR,https://auburntigers.com/sports/football/roster/player/jeremiah-wright
178,--,Caden Curry,Ohio State,EDGE,"6'3""",257,SR,https://ohiostatebuckeyes.com/sports/football/roster/caden-curry/12255
179,--,Drew Shelton,Penn State,OT,"6'5""",313,SR,https://gopsusports.com/sports/football/roster/player/drew-shelton
180,--,Ephesians Prysock,Washington,CB,"6'3""",196,SR,https://gohuskies.com/sports/football/roster/ephesians-prysock/16686
181,--,Mason Reiger,Wisconsin,EDGE,"6'5""",251,GR,https://uwbadgers.com/sports/football/roster/mason-reiger/14178
182,+25,Jack Kelly,BYU,OLB,"6'2""",240,RSR,https://byucougars.com/sports/football/roster/player/jack-kelly
183,+30,Eli Heidenreich,Navy,RB,"6'0""",198,SR,https://navysports.com/sports/football/roster/eli-heidenreich/28603
184,--,Joe Royer,Cincinnati,TE,"6'5""",247,RSR,https://gobearcats.com/sports/football/roster/joe-royer/13297
185,+20,Hezekiah Masses,California,CB,"6'1""",179,SR,https://calbears.com/sports/football/roster/hezekiah-masses/26305
186,--,Ar'Maj Reed-Adams,Texas A&M,OG,"6'6""",314,RSR,https://12thman.com/sports/football/roster/Ar'maj-Reed-Adams/14683
187,+30,Colbie Young,Georgia,WR,"6'5""",218,RSR,https://georgiadogs.com/sports/football/roster/colbie-young/9586
188,--,Jimmy Rolder,Michigan,ILB,"6'3""",238,SR,https://mgoblue.com/sports/football/roster/jimmy-rolder/26753
189,--,J'Mari Taylor,Virginia,RB,"5'10""",199,RSR,https://virginiasports.com/player/jmari-taylor/
190,-35,Zxavian Harris,Ole Miss,DL1T,"6'8""",330,SR,https://olemisssports.com/sports/football/roster/zxavian-harris/5845
191,--,Louis Moore,Indiana,S,"5'11""",191,RSR,https://iuhoosiers.com/sports/football/roster/louis-moore/20173
192,--,Jordan van den Berg,Georgia Tech,DL3T,"6'3""",310,RSR,https://ramblinwreck.com/roster/jordan-van-den-berg/
193,-35,Domani Jackson,Alabama,CB,"6'1""",194,SR,https://rolltide.com/sports/football/roster/domani-jackson/13797
194,--,Aiden Fisher,Indiana,ILB,"6'1""",232,SR,https://iuhoosiers.com/sports/football/roster/aiden-fisher/19956
195,+30,Riley Nowakowski,Indiana,TE,"6'2""",250,RSR,https://iuhoosiers.com/sports/football/roster/riley-nowakowski/20176
